Sample_name,New_name
PadDn1_0322,Pad-Dn-0322-1-1
PadDn1_0622,Pad-Dn-0622-1-1
PadDn1_0722,Pad-Dn-0722-1-1
PadDn2_0422,Pad-Dn-0422-2-1
PadDn2_0522,Pad-Dn-0522-2-1
PadDn2_0622,Pad-Dn-0622-2-1
PadDn2_0722,Pad-Dn-0722-2-1
PadDn3_0322,Pad-Dn-0322-3-1
PadDn3_0522,Pad-Dn-0522-3-1
PadDn3_0622,Pad-Dn-0622-3-1
PadUp11_1_0322,Pad-Up11-0322-1-1
PadUp11_1_0422,Pad-Up11-0422-1-1
PadUp11_1_0522,Pad-Up11-0522-1-1
PadUp11_1_0722,Pad-Up11-0722-1-1
PadUp11_1_0722TR2,Pad-Up11-0722-1-2
PadUp11_1_0722TR3,Pad-Up11-0722-1-3
PadUp11_2_0522,Pad-Up11-0522-2-1
PadUp11_2_0622,Pad-Up11-0622-2-1
PadUp11_2_0722,Pad-Up11-0722-2-1
PadUp11_3_0622,Pad-Up11-0622-3-1
PadUp11_3_0722,Pad-Up11-0722-3-1
PadUp5_1_0822,Pad-Up5-0822-1-1
PadUp5_1_0822TR2,Pad-Up5-0822-1-2
PadUp5_1_0822TR3,Pad-Up5-0822-1-3
PadUp5_2_0422,Pad-Up5-0422-2-1
PadUp5_2_0522,Pad-Up5-0522-2-1
PadUp5_2_0722,Pad-Up5-0722-2-1
PadUp5_3_0622,Pad-Up5-0622-3-1
PadUp5_3_0722,Pad-Up5-0722-3-1
PadUp5_3_0822,Pad-Up5-0822-3-1
PrtDn1_0422,Prt-Dn-0422-1-1
PrtDn1_0422TR2,Prt-Dn-0422-1-2
PrtDn1_0422TR3,Prt-Dn-0422-1-3
PrtDn1_0622,Prt-Dn-0622-1-1
PrtDn2_0322,Prt-Dn-0322-2-1
PrtDn2_0822,Prt-Dn-0822-2-1
PrtDn3_0522,Prt-Dn-0522-3-1
PrtDn3_0622,Prt-Dn-0622-3-1
PrtUp1_0622,Prt-Up-0622-1-1
PrtUp1_0722,Prt-Up-0722-1-1
PrtUp1_0822,Prt-Up-0822-1-1
PrtUp2_0322,Prt-Up-0322-2-1
PrtUp2_0422,Prt-Up-0422-2-1
PrtUp2_0622,Prt-Up-0622-2-1
PrtUp2_0722,Prt-Up-0722-2-1
PrtUp3_0322,Prt-Up-0322-3-1
PrtUp3_0422,Prt-Up-0422-3-1
PrtUp3_0522,Prt-Up-0522-3-1
PrtUp3_0622,Prt-Up-0622-3-1
PrtUp3_0722,Prt-Up-0722-3-1
SqmDn1_0422,Sqm-Dn-0422-1-1
SqmDn1_0622,Sqm-Dn-0622-1-1
SqmDn1_0822,Sqm-Dn-0822-1-1
SqmDn2_0622,Sqm-Dn-0622-2-1
SqmDn2_0722,Sqm-Dn-0722-2-1
SqmDn3_0722,Sqm-Dn-0722-3-1
SqmDn3_0822,Sqm-Dn-0822-3-1
SqmUp1_0322,Sqm-Up-0322-1-1
SqmUp1_0422,Sqm-Up-0422-1-1
SqmUp1_0522,Sqm-Up-0522-1-1
SqmUp1_0822,Sqm-Up-0822-1-1
SqmUp2_0422,Sqm-Up-0422-2-1
SqmUp2_0622,Sqm-Up-0622-2-1
SqmUp2_0722,Sqm-Up-0722-2-1
SqmUp2_0822,Sqm-Up-0822-2-1
SqmUp3_0422,Sqm-Up-0422-3-1
PadDn1-0422,Pad-Dn-0422-1-1
PadDn1-0522,Pad-Dn-0522-1-1
PadDn1-0522TR2,Pad-Dn-0522-1-2
PadDn1-0522TR3,Pad-Dn-0522-1-3
PadDn1-0822,Pad-Dn-0822-1-1
PadDn2-0822,Pad-Dn-0822-2-1
PadDn3-0422,Pad-Dn-0422-3-1
PadDn3-0722,Pad-Dn-0722-3-1
PadDn3-0822,Pad-Dn-0822-3-1
PadUp11-1-0622,Pad-Up11-0622-1-1
PadUp11-1-0822,Pad-Up11-0822-1-1
PadUp11-2-0322,Pad-Up11-0322-2-1
PadUp11-2-0422,Pad-Up11-0422-2-1
PadUp11-2-0822,Pad-Up11-0822-2-1
PadUp11-3-0322,Pad-Up11-0322-3-1
PadUp11-3-0422,Pad-Up11-0422-3-1
PadUp11-3-0522,Pad-Up11-0522-3-1
PadUp11-3-0822,Pad-Up11-0822-3-1
PadUp5-1-0322,Pad-Up5-0322-1-1
PadUp5-1-0422,Pad-Up5-0422-1-1
PadUp5-1-0522,Pad-Up5-0522-1-1
PadUp5-1-0622,Pad-Up5-0622-1-1
PadUp5-1-0722,Pad-Up5-0722-1-1
PadUp5-2-0322,Pad-Up5-0322-2-1
PadUp5-2-0622,Pad-Up5-0622-2-1
PadUp5-2-0822,Pad-Up5-0822-2-1
PadUp5-3-0322,Pad-Up5-0322-3-1
PadUp5-3-0422,Pad-Up5-0422-3-1
PadUp5-3-0522,Pad-Up5-0522-3-1
PrtDn1-0322,Prt-Dn-0322-1-1
PrtDn1-0522,Prt-Dn-0522-1-1
PrtDn1-0722,Prt-Dn-0722-1-1
PrtDn1-0822,Prt-Dn-0822-1-1
PrtDn2-0422,Prt-Dn-0422-2-1
PrtDn2-0522,Prt-Dn-0522-2-1
PrtDn2-0622,Prt-Dn-0622-2-1
PrtDn2-0722,Prt-Dn-0722-2-1
PrtDn3-0322,Prt-Dn-0322-3-1
PrtDn3-0422,Prt-Dn-0422-3-1
PrtDn3-0722,Prt-Dn-0722-3-1
PrtDn3-0822,Prt-Dn-0822-3-1
PrtUp1-0322,Prt-Up-0322-1-1
PrtUp1-0422,Prt-Up-0422-1-1
PrtUp1-0522,Prt-Up-0522-1-1
PrtUp2-0522,Prt-Up-0522-2-1
SqmDn-1-0322TR3,Sqm-Dn-0322-1-3
SqmDn1-0322TR1,Sqm-Dn-0322-1-1
SqmDn1-0322TR2,Sqm-Dn-0322-1-2
SqmDn1-0522,Sqm-Dn-0522-1-1
SqmDn1-0722,Sqm-Dn-0722-1-1
SqmDn2-0322,Sqm-Dn-0322-2-1
SqmDn2-0422,Sqm-Dn-0422-2-1
SqmDn2-0522,Sqm-Dn-0522-2-1
SqmDn2-0822,Sqm-Dn-0822-2-1
SqmDn3-0322,Sqm-Dn-0322-3-1
SqmDn3-0522,Sqm-Dn-0522-3-1
SqmDn3-0622,Sqm-Dn-0622-3-1
SqmUp1-0622,Sqm-Up-0622-1-1
SqmUp1-0622TR2,Sqm-Up-0622-1-2
SqmUp1-0622TR3,Sqm-Up-0622-1-3
SqmUp1-0722,Sqm-Up-0722-1-1
SqmUp2-0322,Sqm-Up-0322-2-1
SqmUp2-0522,Sqm-Up-0522-2-1
SqmUp3-0322,Sqm-Up-0322-3-1
SqmUp3-0522,Sqm-Up-0522-3-1
SqmUp3-0622,Sqm-Up-0622-3-1
SqmUp3-0722,Sqm-Up-0722-3-1
SqmUp3-0822,Sqm-Up-0822-3-1
PadDn1-1222,Pad-Dn-1222-1-1
PadDn2-1222,Pad-Dn-1222-2-1
PadDn3-1222,Pad-Dn-1222-3-1
PadUp11-1-1222,Pad-Up11-1222-1-1
PadUp11-2-1222,Pad-Up11-1222-2-1
PadUp11-3-1222,Pad-Up11-1222-3-1
PadUp5-1-1222,Pad-Up5-1222-1-1
PadUp5-2-1222,Pad-Up5-1222-2-1
PadUp5-3-1222,Pad-Up5-1222-3-1
PrtDn1-1222,Prt-Dn-1222-1-1
PrtDn2-1222,Prt-Dn-1222-2-1
PrtDn3-1222,Prt-Dn-1222-3-1
PrtUp1-1222,Prt-Up-1222-1-1
PrtUp2-1222,Prt-Up-1222-2-1
PrtUp3-1222,Prt-Up-1222-3-1
SqmDn1-1222,Sqm-Dn-1222-1-1
SqmDn2-1222,Sqm-Dn-1222-2-1
SqmDn3-1222,Sqm-Dn-1222-3-1
SqmUp1-1222,Sqm-Up-1222-1-1
SqmUp2-1222,Sqm-Up-1222-2-1
SqmUp3-1222,Sqm-Up-1222-3-1