location,y,m,d,species,quant
lk.padden,2020,4,30,rainbow,12248
lk.padden,2020,5,11,rainbow,2541
lk.padden,2020,5,14,rainbow,4200
lk.padden,2020,5,,kokanee,100294
lk.padden,2020,1,,cutthroat,10000
lk.padden,2021,4,2,rainbow,4655
lk.padden,2021,4,8,rainbow,4200
lk.padden,2021,4,12,rainbow,4897
lk.padden,2021,4,23,rainbow,4850
lk.padden,2021,5,10,rainbow,960
lk.padden,2021,5,,kokanee,30000
lk.padden,2021,1,,cutthroat,10000
lk.padden,2019,12,5,rainbow,750
lk.padden,2019,10,21,rainbow,1000
lk.padden,2019,6,28,rainbow,2520
lk.padden,2019,4,10,rainbow,20500
lk.padden,2019,10,,cutthroat,10000
lk.padden,2019,10,,kokanee,33000
lk.padden,2018,10,10,rainbow,1100
lk.padden,2018,6,7,rainbow,3000
lk.padden,2018,4,3,rainbow,20500
lk.padden,2018,10,,cutthroat,9900
lk.padden,2018,10,,kokanee,30090
lk.padden,2017,3,30,rainbow,7772
lk.padden,2017,3,29,rainbow,7264
lk.padden,2017,3,28,rainbow,5472
lk.padden,2017,10,,cutthroat,10000
lk.padden,2016,4,28,rainbow,2370
lk.padden,2016,4,8,rainbow,656
lk.padden,2016,4,6,rainbow,850
lk.padden,2016,3,31,rainbow,5648
lk.padden,2016,3,11,rainbow,3451
lk.padden,2016,3,8,rainbow,1785
lk.padden,2016,3,7,rainbow,5236
lk.padden,2016,3,4,rainbow,3638
lk.padden,2016,4,,triploid rainbow,656
lk.padden,2016,10,,cutthroat,10000
lk.padden,2016,10,,kokanee,30100
lk.padden,2015,6,18,rainbow,2350
lk.padden,2015,4,13,rainbow,800
lk.padden,2015,4,7,rainbow,2014
lk.padden,2015,4,6,rainbow,6197
lk.padden,2015,4,3,rainbow,2035
lk.padden,2015,4,1,rainbow,6179
lk.padden,2015,3,31,rainbow,4107
lk.padden,2015,4,,triploid rainbow,800
lk.padden,2015,10,,cutthroat,10000
lk.padden,2015,10,,kokanee,3090
lk.padden,2014,4,2,rainbow,4140
lk.padden,2014,4,3,rainbow,6012
lk.padden,2014,4,9,rainbow,6198
lk.padden,2014,4,14,rainbow,4107
lk.padden,2014,4,22,rainbow,1800
lk.padden,2014,6,12,rainbow,250
,2014,10,,cutthroat,10500
,2014,6,,kokanee,20000