"Sample","creek.x","timeplot","daysampletoavg","creek.y","meandayflow"
"0321.4Pad.Dn.1","Padden",2021-03-10 21:45:00,2021-03-10,"Padden",0.164621169903125
"0321.4Pad.Dn.2","Padden",2021-03-10 21:45:00,2021-03-10,"Padden",0.164621169903125
"0321.4Pad.Dn.3","Padden",2021-03-10 21:45:00,2021-03-10,"Padden",0.164621169903125
"0321.4Pad.Up11.1","Padden",2021-03-10 22:00:00,2021-03-10,"Padden",0.164621169903125
"0321.4Pad.Up11.2","Padden",2021-03-10 22:00:00,2021-03-10,"Padden",0.164621169903125
"0321.4Pad.Up11.3","Padden",2021-03-10 22:00:00,2021-03-10,"Padden",0.164621169903125
"0321.4Pad.Up5.1","Padden",2021-03-10 22:45:00,2021-03-10,"Padden",0.164621169903125
"0321.4Pad.Up5.2","Padden",2021-03-10 22:45:00,2021-03-10,"Padden",0.164621169903125
"0321.4Pad.Up5.3","Padden",2021-03-10 22:45:00,2021-03-10,"Padden",0.164621169903125
"0421.4Pad.Dn.1","Padden",2021-04-08 22:00:00,2021-04-08,"Padden",0.2303103556
"0421.4Pad.Dn.2","Padden",2021-04-08 22:00:00,2021-04-08,"Padden",0.2303103556
"0421.4Pad.Dn.3","Padden",2021-04-08 22:15:00,2021-04-08,"Padden",0.2303103556
"0421.4Pad.Up11.1","Padden",2021-04-08 22:30:00,2021-04-08,"Padden",0.2303103556
"0421.4Pad.Up11.2","Padden",2021-04-08 22:30:00,2021-04-08,"Padden",0.2303103556
"0421.4Pad.Up11.3","Padden",2021-04-08 22:30:00,2021-04-08,"Padden",0.2303103556
"0421.4Pad.Up5.1","Padden",2021-04-08 22:45:00,2021-04-08,"Padden",0.2303103556
"0421.4Pad.Up5.2","Padden",2021-04-08 22:45:00,2021-04-08,"Padden",0.2303103556
"0421.4Pad.Up5.3","Padden",2021-04-08 22:45:00,2021-04-08,"Padden",0.2303103556
"0521.4Pad.Dn.1","Padden",2021-05-10 21:00:00,2021-05-10,"Padden",0.033301791940625
"0521.4Pad.Dn.2","Padden",2021-05-10 21:00:00,2021-05-10,"Padden",0.033301791940625
"0521.4Pad.Dn.3","Padden",2021-05-10 21:00:00,2021-05-10,"Padden",0.033301791940625
"0521.4Pad.Up11.1","Padden",2021-05-10 21:15:00,2021-05-10,"Padden",0.033301791940625
"0521.4Pad.Up11.2","Padden",2021-05-10 21:15:00,2021-05-10,"Padden",0.033301791940625
"0521.4Pad.Up11.3","Padden",2021-05-10 21:15:00,2021-05-10,"Padden",0.033301791940625
"0521.4Pad.Up5.1","Padden",2021-05-10 21:45:00,2021-05-10,"Padden",0.033301791940625
"0521.4Pad.Up5.2","Padden",2021-05-10 21:45:00,2021-05-10,"Padden",0.033301791940625
"0521.4Pad.Up5.3","Padden",2021-05-10 21:45:00,2021-05-10,"Padden",0.033301791940625
"0621.4Pad.Dn.1","Padden",2021-06-11 21:00:00,2021-06-11,"Padden",0.008701531109375
"0621.4Pad.Dn.2","Padden",2021-06-11 21:00:00,2021-06-11,"Padden",0.008701531109375
"0621.4Pad.Dn.3","Padden",2021-06-11 21:00:00,2021-06-11,"Padden",0.008701531109375
"0621.4Pad.Up11.1","Padden",2021-06-11 21:15:00,2021-06-11,"Padden",0.008701531109375
"0621.4Pad.Up11.2","Padden",2021-06-11 21:15:00,2021-06-11,"Padden",0.008701531109375
"0621.4Pad.Up11.3","Padden",2021-06-11 21:15:00,2021-06-11,"Padden",0.008701531109375
"0621.4Pad.Up5.1","Padden",2021-06-11 21:45:00,2021-06-11,"Padden",0.008701531109375
"0621.4Pad.Up5.2","Padden",2021-06-11 21:45:00,2021-06-11,"Padden",0.008701531109375
"0621.4Pad.Up5.3","Padden",2021-06-11 21:45:00,2021-06-11,"Padden",0.008701531109375
"0721.4Pad.Dn.1","Padden",2021-07-12 20:15:00,2021-07-12,"Padden",0.003569102590625
"0721.4Pad.Dn.2","Padden",2021-07-12 20:15:00,2021-07-12,"Padden",0.003569102590625
"0721.4Pad.Dn.3","Padden",2021-07-12 20:15:00,2021-07-12,"Padden",0.003569102590625
"0721.4Pad.Up11.1","Padden",2021-07-12 20:15:00,2021-07-12,"Padden",0.003569102590625
"0721.4Pad.Up11.2","Padden",2021-07-12 20:15:00,2021-07-12,"Padden",0.003569102590625
"0721.4Pad.Up11.3","Padden",2021-07-12 20:15:00,2021-07-12,"Padden",0.003569102590625
"0721.4Pad.Up5.1","Padden",2021-07-12 20:45:00,2021-07-12,"Padden",0.003569102590625
"0721.4Pad.Up5.2","Padden",2021-07-12 20:45:00,2021-07-12,"Padden",0.003569102590625
"0721.4Pad.Up5.3","Padden",2021-07-12 20:45:00,2021-07-12,"Padden",0.003569102590625
"0821.4Pad.Dn.1","Padden",2021-08-11 20:00:00,2021-08-11,"Padden",0.002979168278125
"0821.4Pad.Dn.2","Padden",2021-08-11 20:00:00,2021-08-11,"Padden",0.002979168278125
"0821.4Pad.Dn.3","Padden",2021-08-11 20:00:00,2021-08-11,"Padden",0.002979168278125
"0821.4Pad.Up11.1","Padden",2021-08-11 20:15:00,2021-08-11,"Padden",0.002979168278125
"0821.4Pad.Up11.2","Padden",2021-08-11 20:15:00,2021-08-11,"Padden",0.002979168278125
"0821.4Pad.Up11.3","Padden",2021-08-11 20:15:00,2021-08-11,"Padden",0.002979168278125
"0821.4Pad.Up5.1","Padden",2021-08-11 20:45:00,2021-08-11,"Padden",0.002979168278125
"0821.4Pad.Up5.2","Padden",2021-08-11 20:45:00,2021-08-11,"Padden",0.002979168278125
"0821.4Pad.Up5.3","Padden",2021-08-11 20:45:00,2021-08-11,"Padden",0.002979168278125
"0921.4Pad.Dn.1","Padden",2021-09-10 20:15:00,2021-09-10,"Padden",0.00548638910625
"0921.4Pad.Dn.2","Padden",2021-09-10 20:15:00,2021-09-10,"Padden",0.00548638910625
"0921.4Pad.Dn.3","Padden",2021-09-10 20:15:00,2021-09-10,"Padden",0.00548638910625
"0921.4Pad.Up11.1","Padden",2021-09-10 20:30:00,2021-09-10,"Padden",0.00548638910625
"0921.4Pad.Up11.2","Padden",2021-09-10 20:30:00,2021-09-10,"Padden",0.00548638910625
"0921.4Pad.Up11.3","Padden",2021-09-10 20:30:00,2021-09-10,"Padden",0.00548638910625
"0921.4Pad.Up5.1","Padden",2021-09-10 21:00:00,2021-09-10,"Padden",0.00548638910625
"0921.4Pad.Up5.2","Padden",2021-09-10 21:00:00,2021-09-10,"Padden",0.00548638910625
"0921.4Pad.Up5.3","Padden",2021-09-10 21:00:00,2021-09-10,"Padden",0.00548638910625
"1021.4Pad.Dn.1","Padden",2021-10-12 20:15:00,2021-10-12,"Padden",0.022564987453125
"1021.4Pad.Dn.2","Padden",2021-10-12 20:15:00,2021-10-12,"Padden",0.022564987453125
"1021.4Pad.Dn.3","Padden",2021-10-12 20:15:00,2021-10-12,"Padden",0.022564987453125
"1021.4Pad.Up11.1","Padden",2021-10-12 20:30:00,2021-10-12,"Padden",0.022564987453125
"1021.4Pad.Up11.2","Padden",2021-10-12 20:30:00,2021-10-12,"Padden",0.022564987453125
"1021.4Pad.Up11.3","Padden",2021-10-12 20:30:00,2021-10-12,"Padden",0.022564987453125
"1021.4Pad.Up5.1","Padden",2021-10-12 21:00:00,2021-10-12,"Padden",0.022564987453125
"1021.4Pad.Up5.2","Padden",2021-10-12 21:00:00,2021-10-12,"Padden",0.022564987453125
"1021.4Pad.Up5.3","Padden",2021-10-12 21:00:00,2021-10-12,"Padden",0.022564987453125
"1121.4Pad.Dn.1","Padden",2021-11-10 21:15:00,2021-11-10,"Padden",0.419590779765625
"1121.4Pad.Dn.2","Padden",2021-11-10 21:15:00,2021-11-10,"Padden",0.419590779765625
"1121.4Pad.Dn.3","Padden",2021-11-10 21:15:00,2021-11-10,"Padden",0.419590779765625
"1121.4Pad.Up11.1","Padden",2021-11-10 21:30:00,2021-11-10,"Padden",0.419590779765625
"1121.4Pad.Up11.2","Padden",2021-11-10 21:30:00,2021-11-10,"Padden",0.419590779765625
"1121.4Pad.Up11.3","Padden",2021-11-10 21:30:00,2021-11-10,"Padden",0.419590779765625
"1121.4Pad.Up5.1","Padden",2021-11-10 22:00:00,2021-11-10,"Padden",0.419590779765625
"1121.4Pad.Up5.2","Padden",2021-11-10 22:00:00,2021-11-10,"Padden",0.419590779765625
"1121.4Pad.Up5.3","Padden",2021-11-10 22:00:00,2021-11-10,"Padden",0.419590779765625
"1221.4Pad.Dn.1","Padden",2021-12-10 21:15:00,2021-12-10,"Padden",0.8611861093875
"1221.4Pad.Dn.2","Padden",2021-12-10 21:15:00,2021-12-10,"Padden",0.8611861093875
"1221.4Pad.Dn.3","Padden",2021-12-10 21:15:00,2021-12-10,"Padden",0.8611861093875
"1221.4Pad.Up11.1","Padden",2021-12-10 21:30:00,2021-12-10,"Padden",0.8611861093875
"1221.4Pad.Up11.2","Padden",2021-12-10 21:30:00,2021-12-10,"Padden",0.8611861093875
"1221.4Pad.Up11.3","Padden",2021-12-10 21:30:00,2021-12-10,"Padden",0.8611861093875
"1221.4Pad.Up5.1","Padden",2021-12-10 21:45:00,2021-12-10,"Padden",0.8611861093875
"1221.4Pad.Up5.2","Padden",2021-12-10 21:45:00,2021-12-10,"Padden",0.8611861093875
"1221.4Pad.Up5.3","Padden",2021-12-10 21:45:00,2021-12-10,"Padden",0.8611861093875
"0122.4Pad.Dn.1","Padden",2022-01-13 21:00:00,2022-01-13,"Padden",1.29912384627188
"0122.4Pad.Dn.2","Padden",2022-01-13 21:00:00,2022-01-13,"Padden",1.29912384627188
"0122.4Pad.Dn.3","Padden",2022-01-13 21:00:00,2022-01-13,"Padden",1.29912384627188
"0122.4Pad.Up11.1","Padden",2022-01-13 21:15:00,2022-01-13,"Padden",1.29912384627188
"0122.4Pad.Up11.2","Padden",2022-01-13 21:15:00,2022-01-13,"Padden",1.29912384627188
"0122.4Pad.Up11.3","Padden",2022-01-13 21:15:00,2022-01-13,"Padden",1.29912384627188
"0122.4Pad.Up5.1","Padden",2022-01-13 21:45:00,2022-01-13,"Padden",1.29912384627188
"0122.4Pad.Up5.2","Padden",2022-01-13 21:45:00,2022-01-13,"Padden",1.29912384627188
"0122.4Pad.Up5.3","Padden",2022-01-13 21:45:00,2022-01-13,"Padden",1.29912384627188
"0222.4Pad.Dn.1","Padden",2022-02-10 21:00:00,2022-02-10,"Padden",0.317827110859375
"0222.4Pad.Dn.2","Padden",2022-02-10 21:00:00,2022-02-10,"Padden",0.317827110859375
"0222.4Pad.Dn.3","Padden",2022-02-10 21:00:00,2022-02-10,"Padden",0.317827110859375
"0222.4Pad.Up11.1","Padden",2022-02-10 21:15:00,2022-02-10,"Padden",0.317827110859375
"0222.4Pad.Up11.2","Padden",2022-02-10 21:15:00,2022-02-10,"Padden",0.317827110859375
"0222.4Pad.Up11.3","Padden",2022-02-10 21:15:00,2022-02-10,"Padden",0.317827110859375
"0222.4Pad.Up5.1","Padden",2022-02-10 21:30:00,2022-02-10,"Padden",0.317827110859375
"0222.4Pad.Up5.2","Padden",2022-02-10 21:30:00,2022-02-10,"Padden",0.317827110859375
"0222.4Pad.Up5.3","Padden",2022-02-10 21:30:00,2022-02-10,"Padden",0.317827110859375
"0321.3Chk.Dn.1","Chuckanut",2021-03-10 23:30:00,2021-03-10,"Chuckanut",0.242138538565625
"0321.3Chk.Dn.2","Chuckanut",2021-03-10 23:30:00,2021-03-10,"Chuckanut",0.242138538565625
"0321.3Chk.Dn.3","Chuckanut",2021-03-10 23:30:00,2021-03-10,"Chuckanut",0.242138538565625
"0321.3Chk.Up.1","Chuckanut",2021-03-11 00:15:00,2021-03-11,"Chuckanut",0.2188656299375
"0321.3Chk.Up.2","Chuckanut",2021-03-11 00:15:00,2021-03-11,"Chuckanut",0.2188656299375
"0321.3Chk.Up.3","Chuckanut",2021-03-11 00:15:00,2021-03-11,"Chuckanut",0.2188656299375
"0421.3Chk.Dn.1","Chuckanut",2021-04-08 19:15:00,2021-04-08,"Chuckanut",0.414605834825
"0421.3Chk.Dn.2","Chuckanut",2021-04-08 19:15:00,2021-04-08,"Chuckanut",0.414605834825
"0421.3Chk.Dn.3","Chuckanut",2021-04-08 19:15:00,2021-04-08,"Chuckanut",0.414605834825
"0421.3Chk.Up.1","Chuckanut",2021-04-08 19:30:00,2021-04-08,"Chuckanut",0.414605834825
"0421.3Chk.Up.2","Chuckanut",2021-04-08 19:30:00,2021-04-08,"Chuckanut",0.414605834825
"0421.3Chk.Up.3","Chuckanut",2021-04-08 19:30:00,2021-04-08,"Chuckanut",0.414605834825
"0521.3Chk.Dn.1","Chuckanut",2021-05-10 18:45:00,2021-05-10,"Chuckanut",0.06164813565625
"0521.3Chk.Dn.2","Chuckanut",2021-05-10 18:45:00,2021-05-10,"Chuckanut",0.06164813565625
"0521.3Chk.Dn.3","Chuckanut",2021-05-10 18:45:00,2021-05-10,"Chuckanut",0.06164813565625
"0521.3Chk.Up.1","Chuckanut",2021-05-10 19:00:00,2021-05-10,"Chuckanut",0.06164813565625
"0521.3Chk.Up.2","Chuckanut",2021-05-10 19:15:00,2021-05-10,"Chuckanut",0.06164813565625
"0521.3Chk.Up.3","Chuckanut",2021-05-10 19:15:00,2021-05-10,"Chuckanut",0.06164813565625
"0621.3Chk.Dn.1","Chuckanut",2021-06-11 19:15:00,2021-06-11,"Chuckanut",0.017786519521875
"0621.3Chk.Dn.2","Chuckanut",2021-06-11 19:15:00,2021-06-11,"Chuckanut",0.017786519521875
"0621.3Chk.Dn.3","Chuckanut",2021-06-11 19:15:00,2021-06-11,"Chuckanut",0.017786519521875
"0621.3Chk.Up.1","Chuckanut",2021-06-11 19:30:00,2021-06-11,"Chuckanut",0.017786519521875
"0621.3Chk.Up.2","Chuckanut",2021-06-11 19:30:00,2021-06-11,"Chuckanut",0.017786519521875
"0621.3Chk.Up.3","Chuckanut",2021-06-11 19:30:00,2021-06-11,"Chuckanut",0.017786519521875
"0721.3Chk.Dn.1","Chuckanut",2021-07-12 18:30:00,2021-07-12,NA,NA
"0721.3Chk.Dn.2","Chuckanut",2021-07-12 18:30:00,2021-07-12,NA,NA
"0721.3Chk.Dn.3","Chuckanut",2021-07-12 18:30:00,2021-07-12,NA,NA
"0721.3Chk.Up.1","Chuckanut",2021-07-12 19:00:00,2021-07-12,NA,NA
"0721.3Chk.Up.2","Chuckanut",2021-07-12 19:00:00,2021-07-12,NA,NA
"0721.3Chk.Up.3","Chuckanut",2021-07-12 19:00:00,2021-07-12,NA,NA
"0821.3Chk.Dn.1","Chuckanut",2021-08-11 18:30:00,2021-08-11,"Chuckanut",0.0056633694
"0821.3Chk.Dn.2","Chuckanut",2021-08-11 18:30:00,2021-08-11,"Chuckanut",0.0056633694
"0821.3Chk.Dn.3","Chuckanut",2021-08-11 18:30:00,2021-08-11,"Chuckanut",0.0056633694
"0821.3Chk.Up.1","Chuckanut",2021-08-11 18:45:00,2021-08-11,"Chuckanut",0.0056633694
"0821.3Chk.Up.2","Chuckanut",2021-08-11 18:45:00,2021-08-11,"Chuckanut",0.0056633694
"0821.3Chk.Up.3","Chuckanut",2021-08-11 18:45:00,2021-08-11,"Chuckanut",0.0056633694
"0921.3Chk.Dn.1","Chuckanut",2021-09-10 18:30:00,2021-09-10,"Chuckanut",0.0086130409625
"0921.3Chk.Dn.2","Chuckanut",2021-09-10 18:30:00,2021-09-10,"Chuckanut",0.0086130409625
"0921.3Chk.Dn.3","Chuckanut",2021-09-10 18:30:00,2021-09-10,"Chuckanut",0.0086130409625
"0921.3Chk.Up.1","Chuckanut",2021-09-10 18:30:00,2021-09-10,"Chuckanut",0.0086130409625
"0921.3Chk.Up.2","Chuckanut",2021-09-10 18:30:00,2021-09-10,"Chuckanut",0.0086130409625
"0921.3Chk.Up.3","Chuckanut",2021-09-10 18:30:00,2021-09-10,"Chuckanut",0.0086130409625
"1021.3Chk.Dn.1","Chuckanut",2021-10-12 18:15:00,2021-10-12,"Chuckanut",0.105480255075
"1021.3Chk.Dn.2","Chuckanut",2021-10-12 18:15:00,2021-10-12,"Chuckanut",0.105480255075
"1021.3Chk.Dn.3","Chuckanut",2021-10-12 18:15:00,2021-10-12,"Chuckanut",0.105480255075
"1021.3Chk.Up.1","Chuckanut",2021-10-12 18:30:00,2021-10-12,"Chuckanut",0.105480255075
"1021.3Chk.Up.2","Chuckanut",2021-10-12 18:30:00,2021-10-12,"Chuckanut",0.105480255075
"1021.3Chk.Up.3","Chuckanut",2021-10-12 18:30:00,2021-10-12,"Chuckanut",0.105480255075
"1121.3Chk.Dn.1","Chuckanut",2021-11-10 19:30:00,2021-11-10,"Chuckanut",0.812192064734375
"1121.3Chk.Dn.2","Chuckanut",2021-11-10 19:30:00,2021-11-10,"Chuckanut",0.812192064734375
"1121.3Chk.Dn.3","Chuckanut",2021-11-10 19:30:00,2021-11-10,"Chuckanut",0.812192064734375
"1121.3Chk.Up.1","Chuckanut",2021-11-10 19:45:00,2021-11-10,"Chuckanut",0.812192064734375
"1121.3Chk.Up.2","Chuckanut",2021-11-10 19:45:00,2021-11-10,"Chuckanut",0.812192064734375
"1121.3Chk.Up.3","Chuckanut",2021-11-10 19:45:00,2021-11-10,"Chuckanut",0.812192064734375
"1221.3Chk.Dn.1","Chuckanut",2021-12-10 19:15:00,2021-12-10,NA,NA
"1221.3Chk.Dn.2","Chuckanut",2021-12-10 19:15:00,2021-12-10,NA,NA
"1221.3Chk.Dn.3","Chuckanut",2021-12-10 19:15:00,2021-12-10,NA,NA
"1221.3Chk.Up.1","Chuckanut",2021-12-10 19:45:00,2021-12-10,NA,NA
"1221.3Chk.Up.2","Chuckanut",2021-12-10 19:45:00,2021-12-10,NA,NA
"1221.3Chk.Up.3","Chuckanut",2021-12-10 19:45:00,2021-12-10,NA,NA
"0122.3Chk.Dn.1","Chuckanut",2022-01-13 19:30:00,2022-01-13,NA,NA
"0122.3Chk.Dn.2","Chuckanut",2022-01-13 19:30:00,2022-01-13,NA,NA
"0122.3Chk.Dn.3","Chuckanut",2022-01-13 19:30:00,2022-01-13,NA,NA
"0122.3Chk.Up.1","Chuckanut",2022-01-13 20:00:00,2022-01-13,NA,NA
"0122.3Chk.Up.2","Chuckanut",2022-01-13 20:00:00,2022-01-13,NA,NA
"0122.3Chk.Up.3","Chuckanut",2022-01-13 20:00:00,2022-01-13,NA,NA
"0222.3Chk.Dn.1","Chuckanut",2022-02-10 19:30:00,2022-02-10,NA,NA
"0222.3Chk.Dn.2","Chuckanut",2022-02-10 19:30:00,2022-02-10,NA,NA
"0222.3Chk.Dn.3","Chuckanut",2022-02-10 19:30:00,2022-02-10,NA,NA
"0222.3Chk.Up.1","Chuckanut",2022-02-10 20:00:00,2022-02-10,NA,NA
"0222.3Chk.Up.2","Chuckanut",2022-02-10 20:00:00,2022-02-10,NA,NA
"0222.3Chk.Up.3","Chuckanut",2022-02-10 20:00:00,2022-02-10,NA,NA
"0321.5Sqm.Dn.1","Squalicum",2021-03-10 19:45:00,2021-03-10,"Squalicum",0.60592153236875
"0321.5Sqm.Dn.2","Squalicum",2021-03-10 19:45:00,2021-03-10,"Squalicum",0.60592153236875
"0321.5Sqm.Dn.3","Squalicum",2021-03-10 19:45:00,2021-03-10,"Squalicum",0.60592153236875
"0321.5Sqm.Up.1","Squalicum",2021-03-10 20:15:00,2021-03-10,"Squalicum",0.60592153236875
"0321.5Sqm.Up.2","Squalicum",2021-03-10 20:15:00,2021-03-10,"Squalicum",0.60592153236875
"0321.5Sqm.Up.3","Squalicum",2021-03-10 20:15:00,2021-03-10,"Squalicum",0.60592153236875
"0421.5Sqm.Dn.1","Squalicum",2021-04-08 23:30:00,2021-04-08,"Squalicum",0.605184114478125
"0421.5Sqm.Dn.2","Squalicum",2021-04-08 23:30:00,2021-04-08,"Squalicum",0.605184114478125
"0421.5Sqm.Dn.3","Squalicum",2021-04-08 23:30:00,2021-04-08,"Squalicum",0.605184114478125
"0421.5Sqm.Up.1","Squalicum",2021-04-08 23:45:00,2021-04-08,"Squalicum",0.605184114478125
"0421.5Sqm.Up.2","Squalicum",2021-04-08 23:45:00,2021-04-08,"Squalicum",0.605184114478125
"0421.5Sqm.Up.3","Squalicum",2021-04-08 23:45:00,2021-04-08,"Squalicum",0.605184114478125
"0521.5Sqm.Dn.1","Squalicum",2021-05-10 22:30:00,2021-05-10,"Squalicum",0.089699512215625
"0521.5Sqm.Dn.2","Squalicum",2021-05-10 22:30:00,2021-05-10,"Squalicum",0.089699512215625
"0521.5Sqm.Dn.3","Squalicum",2021-05-10 22:30:00,2021-05-10,"Squalicum",0.089699512215625
"0521.5Sqm.Up.1","Squalicum",2021-05-10 22:45:00,2021-05-10,"Squalicum",0.089699512215625
"0521.5Sqm.Up.2","Squalicum",2021-05-10 22:45:00,2021-05-10,"Squalicum",0.089699512215625
"0521.5Sqm.Up.3","Squalicum",2021-05-10 22:45:00,2021-05-10,"Squalicum",0.089699512215625
"0621.5Sqm.Dn.1","Squalicum",2021-06-11 22:45:00,2021-06-11,"Squalicum",0.074892160971875
"0621.5Sqm.Dn.2","Squalicum",2021-06-11 22:45:00,2021-06-11,"Squalicum",0.074892160971875
"0621.5Sqm.Dn.3","Squalicum",2021-06-11 22:45:00,2021-06-11,"Squalicum",0.074892160971875
"0621.5Sqm.Up.1","Squalicum",2021-06-11 23:00:00,2021-06-11,"Squalicum",0.074892160971875
"0621.5Sqm.Up.2","Squalicum",2021-06-11 23:00:00,2021-06-11,"Squalicum",0.074892160971875
"0621.5Sqm.Up.3","Squalicum",2021-06-11 23:00:00,2021-06-11,"Squalicum",0.074892160971875
"0721.5Sqm.Dn.1","Squalicum",2021-07-12 21:30:00,2021-07-12,"Squalicum",0.015426782271875
"0721.5Sqm.Dn.2","Squalicum",2021-07-12 21:30:00,2021-07-12,"Squalicum",0.015426782271875
"0721.5Sqm.Dn.3","Squalicum",2021-07-12 21:30:00,2021-07-12,"Squalicum",0.015426782271875
"0721.5Sqm.Up.1","Squalicum",2021-07-12 21:45:00,2021-07-12,"Squalicum",0.015426782271875
"0721.5Sqm.Up.2","Squalicum",2021-07-12 21:45:00,2021-07-12,"Squalicum",0.015426782271875
"0721.5Sqm.Up.3","Squalicum",2021-07-12 21:45:00,2021-07-12,"Squalicum",0.015426782271875
"0821.5Sqm.Dn.1","Squalicum",2021-08-11 21:15:00,2021-08-11,"Squalicum",0.0069612248875
"0821.5Sqm.Dn.2","Squalicum",2021-08-11 21:15:00,2021-08-11,"Squalicum",0.0069612248875
"0821.5Sqm.Dn.3","Squalicum",2021-08-11 21:15:00,2021-08-11,"Squalicum",0.0069612248875
"0821.5Sqm.Up.1","Squalicum",2021-08-11 21:30:00,2021-08-11,"Squalicum",0.0069612248875
"0821.5Sqm.Up.2","Squalicum",2021-08-11 21:30:00,2021-08-11,"Squalicum",0.0069612248875
"0821.5Sqm.Up.3","Squalicum",2021-08-11 21:30:00,2021-08-11,"Squalicum",0.0069612248875
"0921.5Sqm.Dn.1","Squalicum",2021-09-10 21:30:00,2021-09-10,"Squalicum",0.0185239374125
"0921.5Sqm.Dn.2","Squalicum",2021-09-10 21:30:00,2021-09-10,"Squalicum",0.0185239374125
"0921.5Sqm.Dn.3","Squalicum",2021-09-10 21:30:00,2021-09-10,"Squalicum",0.0185239374125
"0921.5Sqm.Up.1","Squalicum",NA,NA,NA,NA
"0921.5Sqm.Up.2","Squalicum",NA,NA,NA,NA
"0921.5Sqm.Up.3","Squalicum",NA,NA,NA,NA
"1021.5Sqm.Dn.1","Squalicum",2021-10-12 21:45:00,2021-10-12,"Squalicum",0.076366996753125
"1021.5Sqm.Dn.2","Squalicum",2021-10-12 21:45:00,2021-10-12,"Squalicum",0.076366996753125
"1021.5Sqm.Dn.3","Squalicum",2021-10-12 21:45:00,2021-10-12,"Squalicum",0.076366996753125
"1021.5Sqm.Up.1","Squalicum",2021-10-12 22:00:00,2021-10-12,"Squalicum",0.076366996753125
"1021.5Sqm.Up.2","Squalicum",2021-10-12 22:00:00,2021-10-12,"Squalicum",0.076366996753125
"1021.5Sqm.Up.3","Squalicum",2021-10-12 22:00:00,2021-10-12,"Squalicum",0.076366996753125
"1121.5Sqm.Dn.1","Squalicum",2021-11-10 22:30:00,2021-11-10,"Squalicum",0.7875623071875
"1121.5Sqm.Dn.2","Squalicum",2021-11-10 22:30:00,2021-11-10,"Squalicum",0.7875623071875
"1121.5Sqm.Dn.3","Squalicum",2021-11-10 22:30:00,2021-11-10,"Squalicum",0.7875623071875
"1121.5Sqm.Up.1","Squalicum",2021-11-10 22:45:00,2021-11-10,"Squalicum",0.7875623071875
"1121.5Sqm.Up.2","Squalicum",2021-11-10 22:45:00,2021-11-10,"Squalicum",0.7875623071875
"1121.5Sqm.Up.3","Squalicum",2021-11-10 22:45:00,2021-11-10,"Squalicum",0.7875623071875
"1221.5Sqm.Dn.1","Squalicum",2021-12-10 22:30:00,2021-12-10,NA,NA
"1221.5Sqm.Dn.2","Squalicum",2021-12-10 22:30:00,2021-12-10,NA,NA
"1221.5Sqm.Dn.3","Squalicum",2021-12-10 22:30:00,2021-12-10,NA,NA
"1221.5Sqm.Up.1","Squalicum",2021-12-10 22:45:00,2021-12-10,NA,NA
"1221.5Sqm.Up.2","Squalicum",2021-12-10 22:45:00,2021-12-10,NA,NA
"1221.5Sqm.Up.3","Squalicum",2021-12-10 22:45:00,2021-12-10,NA,NA
"0122.5Sqm.Dn.1","Squalicum",2022-01-13 22:15:00,2022-01-13,NA,NA
"0122.5Sqm.Dn.2","Squalicum",2022-01-13 22:15:00,2022-01-13,NA,NA
"0122.5Sqm.Dn.3","Squalicum",2022-01-13 22:15:00,2022-01-13,NA,NA
"0122.5Sqm.Up.1","Squalicum",2022-01-13 22:45:00,2022-01-13,NA,NA
"0122.5Sqm.Up.2","Squalicum",2022-01-13 22:45:00,2022-01-13,NA,NA
"0122.5Sqm.Up.3","Squalicum",2022-01-13 22:45:00,2022-01-13,NA,NA
"0222.5Sqm.Dn.1","Squalicum",2022-02-10 22:15:00,2022-02-10,NA,NA
"0222.5Sqm.Dn.2","Squalicum",2022-02-10 22:15:00,2022-02-10,NA,NA
"0222.5Sqm.Dn.3","Squalicum",2022-02-10 22:15:00,2022-02-10,NA,NA
"0222.5Sqm.Up.1","Squalicum",2022-02-10 22:30:00,2022-02-10,NA,NA
"0222.5Sqm.Up.2","Squalicum",2022-02-10 22:30:00,2022-02-10,NA,NA
"0222.5Sqm.Up.3","Squalicum",2022-02-10 22:30:00,2022-02-10,NA,NA
